Ranking,Prob_Fraude_%,Nivel_Risco,Cliente,Merchant,Categoria,Valor_R$,Motivos_Suspeita,Score_Regras,Media_Cliente_R$,Valor_Relativo_x,Taxa_Fraude_Merchant_%,Data_Analise
1,100.0,🔴 CRÍTICO,C579648989,M78078399,es_wellnessandbeauty,518.5,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 12.3x acima da média,2,42.2,12.287762783202497,81.9,2026-01-09 17:51
2,100.0,🔴 CRÍTICO,C1723688663,M1823072687,es_transportation,483.94,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 11.8x acima da média,2,40.94,11.8195787523458,81.9,2026-01-09 17:51
3,100.0,🔴 CRÍTICO,C177123752,M348934600,es_transportation,462.78,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 11.2x acima da média,2,41.39,11.182227724335108,81.9,2026-01-09 17:51
4,100.0,🔴 CRÍTICO,C1377736719,M348934600,es_transportation,774.79,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.9x acima da média,2,71.0,10.91209593902726,81.9,2026-01-09 17:51
5,100.0,🔴 CRÍTICO,C1411169363,M1600850729,es_fashion,845.59,Valor acima do padrão do cliente | Merchant com histórico de fraudes (34.8%) | Valor 11.9x acima da média,2,70.84,11.936617561594897,34.8,2026-01-09 17:51
6,100.0,🔴 CRÍTICO,C1874220848,M1823072687,es_transportation,448.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (34.8%) | Valor 10.6x acima da média,2,42.24,10.609166849539115,34.8,2026-01-09 17:51
7,100.0,🔴 CRÍTICO,C1612798177,M348934600,es_transportation,776.17,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 14.1x acima da média,2,55.17,14.068550784114057,83.9,2026-01-09 17:51
8,100.0,🔴 CRÍTICO,C1039390058,M348934600,es_transportation,792.48,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 12.6x acima da média,2,63.13,12.552821661969888,81.9,2026-01-09 17:51
9,100.0,🔴 CRÍTICO,C1670516684,M1823072687,es_transportation,580.81,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 10.7x acima da média,2,54.21,10.71467363942676,22.77,2026-01-09 17:51
10,100.0,🔴 CRÍTICO,C1491844959,M348934600,es_transportation,522.79,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 10.0x acima da média,2,52.42,9.97384916072103,81.9,2026-01-09 17:51
11,100.0,🔴 CRÍTICO,C1813956515,M1823072687,es_transportation,467.37,Valor acima do padrão do cliente | Merchant com histórico de fraudes (34.8%) | Valor 10.4x acima da média,2,44.85,10.420052226700475,34.8,2026-01-09 17:51
12,100.0,🔴 CRÍTICO,C1110919755,M348934600,es_transportation,663.56,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 12.5x acima da média,2,53.21,12.471484168672113,81.9,2026-01-09 17:51
13,100.0,🔴 CRÍTICO,C1708732499,M85975013,es_food,624.89,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.9x acima da média,2,70.47,8.867704759923807,81.9,2026-01-09 17:51
14,100.0,🔴 CRÍTICO,C1389923471,M348934600,es_transportation,873.42,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 15.7x acima da média,2,55.79,15.655312495842935,83.9,2026-01-09 17:51
15,100.0,🔴 CRÍTICO,C65683893,M348934600,es_transportation,595.42,Valor acima do padrão do cliente | Merchant com histórico de fraudes (34.8%) | Valor 12.8x acima da média,2,46.42,12.825676063449293,34.8,2026-01-09 17:51
16,100.0,🔴 CRÍTICO,C1335108214,M348934600,es_transportation,577.32,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 12.6x acima da média,2,45.66,12.64278178340089,22.77,2026-01-09 17:51
17,100.0,🔴 CRÍTICO,C336519851,M348934600,es_transportation,801.99,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 15.3x acima da média,2,52.36,15.316064588331422,81.9,2026-01-09 17:51
18,100.0,🔴 CRÍTICO,C227356089,M1823072687,es_transportation,743.76,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 12.4x acima da média,2,59.86,12.424319933953925,22.77,2026-01-09 17:51
19,100.0,🔴 CRÍTICO,C734397713,M348934600,es_transportation,732.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 11.1x acima da média,2,65.72,11.14563643784157,81.9,2026-01-09 17:51
20,100.0,🔴 CRÍTICO,C1258211852,M348934600,es_transportation,1142.23,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 18.0x acima da média,2,63.59,17.963599831129084,81.9,2026-01-09 17:51
